text,label,source_name,school,url
Visit the Registrar’s Office: The student must go to their respective Registrar’s office along with their spouse/partner. They should present the gathered proof of marriage or civil union.,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
"The University Registrar’s Office staff foster a culture of inclusion, diversity, collaboration, and innovation.",Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
"Students from specific professional schools (such as the David Geffen School of Drama, Divinity School, Jackson School of Global Affairs, etc.) should also access the transcript order service through the Yale Hub. Other professional school students must contact their own school registrars for transcript requests.",Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
The University Registrar’s Office provides enrollment and degree verification services to confirm a student’s academic status for Yale College and Graduate School of Arts and Sciences students. See Verifications for more information.,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Students in the professional schools should contact their school registrars for verification information (see Verifications for links to each School’s Registrar).,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
"If you are considering a course withdrawal or have problems converting to Credit/D/Fail grade mode, contact your residential college dean. Note that Credit/D/Final conversions are final and cannot be changed.",Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
"If an electronic (dynamic) form was submitted, students can track the progress of the form through the review and approvals process using the link provided at the bottom of the confirmation email they received when the form was initially submitted.",Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
The student and their spouse/partner need to provide proof of marriage or civil union. Acceptable forms of documentation include:,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
"I am a Yale College student, how do I enroll in courses?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I see a registration worksheet in Yale Course Search, but I cannot add or drop classes, why?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
What do the icons on my registration worksheet mean?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am getting an error in my registration worksheet, how do I resolve it?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am trying to put a class on my Registration worksheet, but I can’t enroll, why?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Do I need to have an adviser or DUS approve my schedule?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am a Yale College student, how does my adviser know in which courses I am enrolled?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
What is the difference between a registration worksheet and a Canvas worksheet?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Registration opened for my class year but I can’t add any courses to my worksheet.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Can I have the same course on both my Registration worksheet and my Canvas worksheet?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
How long does it take to gain access to a Canvas course site when I place it on my Canvas worksheet or enroll in it using my registration worksheet?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
How long will I have access to Canvas course sites if I place a course on my Canvas worksheet?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
How many courses can I add to my Yale College registration worksheet?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am having trouble dropping a class from my worksheet, why can’t I drop this class?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
How many courses can I add to my Canvas worksheet?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am a Yale College student, how do I know if a course requires an application or request to enroll?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am a Yale College student. What if the registration period has ended, but I want to make a change to my registration worksheet in Yale Course Search?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am waiting for a response to my permission request, can I access the Canvas course site?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
What is the difference between the Yale College Registration period and the Add/Drop period?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Will courses in which I enroll during the registration period appear on my transcript?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am a Yale College student, how do I search for classes in the Professional or Graduate School in YCS?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
How do I enroll in professional school courses in the registration system?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Can my instructor adjust my position on the waitlist?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am a Yale College student, when do I select the discussion section or lab section that is the counterpart to the lecture course?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
What is the best way to check that I successfully enrolled in my classes this term?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am an adviser to Yale College students, how and when can I see my advisee’s schedule?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am an instructor, how do I know if a student is enrolled in my course?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am teaching a Yale College course. If Instructor Permission Required was formally placed on my course, how will I know if Yale College students have requested permission and how do I grant permission?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Whom should I contact about advising and placement?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"I am an instructor, why is the number of students on my Canvas roster different than the Course Demand Statistics?",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Will adding a student to my Canvas site grant them enrollment permission?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
I am an instructor and a Yale College student has been attending my class from the beginning but doesn’t seem to be on the roster. There is space for them in class. How do I add them?,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Black check mark means successfully enrolled.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Green check mark means that t he instructor has approved the request but you still need to accept the seat to be officially registered for the class. .,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Worksheet means you have added to your worksheet but have not successfully enrolled.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Alert means there is an issue preventing successful registration.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Make sure the class is not full. You will not be able to enroll in a course in which there is not space.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Scroll to the top to see if there is an error message flagging the reason. Consult the Understanding Registration Error Messages for solutions corresponding to the error.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Scroll to the bottom to check for prompts to confirm or make changes.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Check the number of credits in which you are already enrolled (at the top of the worksheet). Yale College students are not able to enroll for more than 5.5 credits without a compelling academic reason.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
If the course has a discussion or lab section you must enroll in both the course and the section before finalizing enrollment. Course sections have numbers (e.g. 1401-01) while discussion/lab sections have letters (e.g. 1401-0A).,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"If the course requires instructor permission and the instructor has granted permission, you must click the blue “confirm changes” button to finalize registration.",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
You can also watch How Yale College Students Register for Courses,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
The registration worksheet does not open until the registration period begins and will reopen for Add/Drop period.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
If you are a Yale College student who has taken time away you will be able to register once registration opens for your official class year.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"When you have successfully enrolled in courses using the registration worksheet, your adviser can see the courses you have selected through the Yale Degree Audit.",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"If you are officially enrolled in the course, you will have “Student” status on the instructor’s Canvas roster. If you are not officially enrolled, but have the course on your Canvas worksheet, you will have “Visitor” status on the instructor’s Canvas roster.",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"The registration worksheet allows you to enroll to the maximum course credits allowed by Academic Regulations, which for Yale College students is 5.5 course credits. If you need to enroll in more than 5.5 course credits, you need to speak with your Residential College Dean.",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"If you add additional credits to your worksheet, you will not be enrolled in the courses without permission and will not see a black checkmark which indicates enrollment in the course.",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
This may be a technical issue. Please reach out to registrar@yale.edu for assistance. Be sure to include your SID and a full screen shot showing the entire registration worksheet and any error messages to help with troubleshooting.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"If the course is set up for “Instructor Permission” through the registration system, you will find notice of this under Registration Notes. In this case, there is an envelope icon that allows you to send an email request to enroll. The instructor will respond within the registration system.",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"You will have the opportunity to make changes to your registration worksheet during the add/drop period. Between the registration and add/drop periods, you may add and remove courses from the Canvas worksheet in Yale Course Search.",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"The registration period takes place prior to the term of enrollment and is intended to be a gauge of student interest in course enrollment and to provide advance notification of permission to enroll in courses that have limited enrollments. It allows departments to manage demand for enrollment, the number of discussion/lab sections and teaching fellows needed, and the size of the room needed.",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
The add/drop period takes place shortly before the start of classes and runs for about eight days. The add/drop period is for refinement of the student course schedule and culminates with a final schedule.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
The default school setting for an undergraduate student is “Yale College”. To search other schools go to the Advanced Search filters and change the third filter down from “Yale College” to “Any Schools” or select a specific school of interest from the list.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"If there is a course missing from that list, return to your registration worksheet in YCS to troubleshoot.",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"If a student is officially enrolled in your course, they will appear on your Canvas roster with a “Student” status. Persons on your roster with a “Visitor” status are not officially enrolled.",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
The Faculty Grade Submission system (FGS) is the official enrollment roster.,Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
"If instructor permission is required in order to enroll in your course, students must submit the permission request through their Yale Course Search registration worksheet. If you grant permission to the student, they will then be able to enroll and gain automatic access to your Canvas course site.",Registrar,Registration FAQs,Yale,https://registrar.yale.edu/registration/registration-faqs
Yale College Registration,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Key Registration Dates (Yale College & GSAS),Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Registration System,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Questions about Registration? You’re not alone.,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Yale College Registration Guides,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Registration Video Guides,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Adding Classes to the Registration Worksheet for Yale College Students,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Course Registration for First Time Yale College Students,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
How to Swap Discussion Sections without Removing the Lecture Course,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
How Yale College Students Drop a Course During Registration and Add/Drop Periods,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Instructor Permission - Requesting and Confirming Registration (Yale College),Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Track Progress of a Submitted Form or Petition (Dynamic Forms),Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Using the What-If forecasting feature in Yale Degree Audit,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Registration and Add/Drop Periods,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
First-year Student Fall Registration,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Returning Students Fall Registration,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
All Students Spring Registration,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Registration Guidelines,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
DUS & Registrar Directory,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Residential College Deans and Assistants Directory,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
How to Search for Courses in Yale Course Search,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Searching with course/distribution attributes,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Using Registration & Canvas Worksheets,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
How Yale College Students Register for Courses,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Instructor Permission Requests,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Discussion/Lab Section Registration,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Yale Course Search Registration Icons,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Understanding Course Demand Statistics,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Understanding Discussion/Lab Section Statistics,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Waitlisting for Courses without Discussion/Lab Sections,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Waitlisting for Discussion/Lab Sections Associated with a Lecture,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
How YC Students Register for Graduate/Professional School Courses,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Cross-School Course Registration Processes,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Dropping a course during registration & add/drop,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Petition to Elect Two Courses with Overlapping Meeting Times (see Overlapping meeting times ),Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Request to Enroll in a Professional School Course (see also cross-school course registration ),Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
YC Petition for Credit Overload (see Course loads requiring permission ),Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
"Course Change Notice Form for the late addition of a course, withdrawal, or section changes",Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
"The registration system reopens for several days at the start of the term, allowing students to make adjustments (add or drop) to courses for which they enrolled during registration. The changes to course schedules at this time should be minimal.",Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
The Yale College Directors of Undergraduate Studies (DUS) and Registrars are critical to the success of Yale’s undergraduate programs.,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
The chief academic adviser for every Yale College student is their Residential College Dean.,Registrar,Yale College registration hub,Yale,https://registrar.yale.edu/yale-college-registration
Quick Cost Estimators,Financial_Aid,Undergraduate Financial Aid home,Yale,https://finaid.yale.edu/
Understanding Your Offer Letter,Financial_Aid,Undergraduate Financial Aid home,Yale,https://finaid.yale.edu/
Financial Aid Terminology,Financial_Aid,Undergraduate Financial Aid home,Yale,https://finaid.yale.edu/
Additional Resources,Financial_Aid,Undergraduate Financial Aid home,Yale,https://finaid.yale.edu/
Types of Aid Yale awards financial aid in the form of need-based Yale Scholarship grants. Learn about all types of available financial aid.,Financial_Aid,Undergraduate Financial Aid home,Yale,https://finaid.yale.edu/
Quick Cost Estimators Yale offers three tools for quickly estimating what a Yale College education would cost after financial aid.,Financial_Aid,Undergraduate Financial Aid home,Yale,https://finaid.yale.edu/
"Understanding Your Offer Letter Go through the components of a Yale financial aid offer letter to understand your estimated cost of attendance, gift aid, and estimated net cost.",Financial_Aid,Undergraduate Financial Aid home,Yale,https://finaid.yale.edu/
Financial Aid Terminology Learn the terms and acronyms used in the process of applying for undergraduate financial aid.,Financial_Aid,Undergraduate Financial Aid home,Yale,https://finaid.yale.edu/
Presentations & Publications,Financial_Aid,Undergraduate Financial Aid home,Yale,https://finaid.yale.edu/
Does Yale College offer merit or athletic scholarships?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
Does applying for financial aid affect my chances of admission to Yale College?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
Does Yale College offer financial aid for international students?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
Does Yale accept the International Student Financial Aid Application (ISFAA) for non-U.S. citizens applying for financial aid?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
How do I apply for financial aid?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
What are the deadlines to apply for financial aid?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
"If I miss the deadline, can I still apply for financial aid?",Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
I am no longer interested in applying for financial aid. How can I update the office?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
I did not indicate interest in applying for aid on the admission application. Can I update this?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
I selected the incorrect application cycle on my CSS profile. How can I update this information?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
Where can I view the required documents to complete my financial aid application?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
Where do I submit documentation to complete my financial aid application?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
My IDOC checklist and Yale Financial Aid checklist are different. Which is correct?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
What if my parent(s) are unwilling to contribute towards my education?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
What if my checklist includes documents I do not have?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
"My Yale checklist is asking for a tax return, but I didn’t file taxes. How do I resolve this?",Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
Why are documents for a noncustodial parent appearing on my checklist after I submitted a waiver request?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
How do I request a CSS profile fee payment code?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
I have completed my financial aid application. When can I expect to receive my financial aid offer?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
What happens to my financial aid offer if I receive outside scholarships?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
How can I submit a request for review of my financial aid offer?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
Does financial aid cover health insurance?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
What happens to my financial aid offer when I study abroad?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
What happens to my financial aid offer if I move off campus?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
What happens to my financial aid if I take a leave of absence?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
Does Yale offer scholarship aid for summer session courses?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
How can I know how much Summer Pell I qualify for?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
Who do I contact to complete a TL11A Tuition and Enrolment Certificate - University Outside Canada form?,Financial_Aid,Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
